No.,WinRate,MatchCount,WinCount,ID,Name,flavor,Time
"1","489","553","521","822","ゼロ・ワン","宇宙最強の存在と言われる全知・全能の少女。どんな相手でも絶対に勝利する超絶な力を持ち、究極の生命として永遠に存在し続ける。","2023/5/30 21:07:15"
"2","139","209","174","386","聖天使マリア","MGRによって創り出された女魔神。完全な無敵statusで、skills八つ全てを習得している。敵の攻撃を反転させ、その攻撃を無効化する能力を持つ。叡智に秀で、常に冷静沈着である。","2023/5/30 21:07:15"
"3","137","179","158","613","セイントマリア","聖なる光に包まれた女神。HP、ATK、DEF、INT、速さ、魔法力、全てにおいて究極の力を持つ。神聖な能力で味方全員を回復し、敵を一掃する。","2023/5/30 21:07:15"
"4","136","252","194","491","絶対神","天上天下唯我独尊を信念とする神格。神話においては、全てを創造し、全てを統御する存在とされる。明鏡止水のように冷静でありながら、力強く、神秘的な存在感を持つ。","2023/5/30 21:07:15"
"5","135","207","171","331","時空少女カリン","時空を操る少女。身長は平均以下だが、力やスピード、知力など全ての能力が高く、周りの者たちを驚かせる。","2023/5/30 21:07:15"
"6","129","189","159","321","ゴッドミストレス","神姫として知られるこの怪物は、どのような戦いにも勝つために生まれました。彼女は剣の使い手であり、非常に高い知性を持ち、全てのstatusは常に２０です。また、彼女は八つのskillsを持っており、自分の戦い方を絶えず改善し続け、最高峰の戦いの能力を持っています。","2023/5/30 21:07:15"
"7","121","171","146","476","コンプリートモンスター","このゲームに登場する全てのモンスターが融合し、誕生した究極生命体。どんな攻撃も効かず、全てのskillsを使いこなす。","2023/5/30 21:07:15"
"8","121","169","145","460","オメガ・ゴッドキング","神々をも凌駕する存在。不死身であり、無敵であり、あらゆる攻撃を無効化する。全知全能の力を持ち、世界を支配することができる。","2023/5/30 21:07:15"
"9","118","196","157","309","アマテラス","神話に登場する女神。HPが非常に高く、卓越した力と知恵を持つ。","2023/5/30 21:07:15"
"10","110","198","154","304","アマテラス","日本神話に伝わる女神。見かけは美しい女性で、HPが非常に高く、Statusも優れている。様々なskillsを持っており、戦いにおいて強力な力を発揮できる。","2023/5/30 21:07:15"
