No.,WinRate,MatchCount,WinCount,ID,Name,flavor,Time
"1","59","73","66","386","聖天使マリア","MGRによって創り出された女魔神。完全な無敵statusで、skills八つ全てを習得している。敵の攻撃を反転させ、その攻撃を無効化する能力を持つ。叡智に秀で、常に冷静沈着である。","2023/5/7 14:13:44"
"2","46","100","73","1","Cosmoron","An all-powerful being that possesses the ability to create entire galaxies with a single thought. It is said that Cosmoron single-handedly brought forth the Big Bang that created our universe.","2023/5/7 14:13:44"
"3","46","72","59","309","アマテラス","神話に登場する女神。HPが非常に高く、卓越した力と知恵を持つ。","2023/5/7 14:13:44"
"4","45","69","57","321","ゴッドミストレス","神姫として知られるこの怪物は、どのような戦いにも勝つために生まれました。彼女は剣の使い手であり、非常に高い知性を持ち、全てのstatusは常に２０です。また、彼女は八つのskillsを持っており、自分の戦い方を絶えず改善し続け、最高峰の戦いの能力を持っています。","2023/5/7 14:13:44"
"5","45","55","50","373","Omniplexus","A divine being with immense power and twenty different skills. With forty hit points and balanced status levels, this monster is a force to be reckoned with.","2023/5/7 14:13:44"
"6","44","66","55","331","時空少女カリン","時空を操る少女。身長は平均以下だが、力やスピード、知力など全ての能力が高く、周りの者たちを驚かせる。","2023/5/7 14:13:44"
"7","40","76","58","170","黄金ドラゴン","黄金色の龍で、とても高貴な外観を持ち、十個の最強skillsを持っています。常に冷静で知恵があり、絶対的な支配者です。","2023/5/7 14:13:44"
"8","40","48","44","476","コンプリートモンスター","このゲームに登場する全てのモンスターが融合し、誕生した究極生命体。どんな攻撃も効かず、全てのskillsを使いこなす。","2023/5/7 14:13:44"
"9","39","57","48","401","サイバー神獣","宇宙から飛来してきた伝説的な神獣。あらゆる攻撃に対して完全な能力無効化を誇り、神同様の力を持っている。その百のskillsは、どんな敵も倒すことができる。","2023/5/7 14:13:44"
"10","38","94","66","78","シンクロドラゴン","最強のモンスターであり、全てのモンスターの最終進化体。彼は非常に知識豊富で、鋭い思考力を持っています。戦闘中は、彼の特殊能力を駆使して敵を倒します。","2023/5/7 14:13:44"
"11","37","89","63","230","蒼龍の女神","伝説上の怪物で、あらゆる攻撃を完全に無効化する力を持っている。蒼い龍のような外見をしており、とてつもなく強大な存在である。","2023/5/7 14:13:44"
"12","36","94","65","107","タソット","神秘的で神権的な存在。彼は全知全能を持っており、世界をコントロールすることができます。しかし、彼は孤独を感じることがあります。","2023/5/7 14:13:44"
"13","36","80","58","227","ドラゴンキング","伝説の竜王であり、最強の八つの攻撃skillsを持つ。その他のステータスも二十に達し、どんな相手にも対抗できる。","2023/5/7 14:13:44"
